Date,Clicks,Impressions,CTR,Position
2025-09-06,47,12759,0.37%,10.41
2025-09-05,245,14938,1.64%,9.99
2025-09-04,209,12875,1.62%,10.4
2025-09-03,151,10914,1.38%,10.37
2025-09-02,21,7008,0.3%,10.62
2025-09-01,17,4329,0.39%,11
2025-08-31,13,3002,0.43%,11.34
2025-08-30,17,3603,0.47%,10.7
2025-08-29,18,3728,0.48%,10.24
2025-08-28,10,3437,0.29%,10.33
2025-08-27,13,2733,0.48%,10.94
2025-08-26,8,1219,0.66%,12.86
2025-08-25,2,702,0.28%,14.17
2025-08-24,3,1203,0.25%,11.19
2025-08-23,5,1268,0.39%,11.18
2025-08-22,2,903,0.22%,11.27
2025-08-21,4,205,1.95%,18.3
2025-08-20,3,113,2.65%,25.12
2025-08-19,5,36,13.89%,27.06
2025-08-18,7,36,19.44%,25.75
2025-08-17,5,26,19.23%,23.65